_id,today,_Exact Location_latitude,_Exact Location_longitude,Governorat,District,Is the company registered,What is the Type of registration?,Business name:,Economic sector:,Sub-sector:,Please specify the business products and services,Phone Number,Business Phone Number (If applicable),Enterprise size in terms of number of employees:,"Enterprise size (Micro, Small, Medium, Large)",Do you have any current available vacancies?,Number of job vacancies:,Current//Types of positions available:/Interns,Current//Types of positions available:/Seasonal employees,Current//Types of positions available:/Entry level,Current//Types of positions available:/Mid-senior level,Current//Types of positions available:/Senior management level,Current//Areas of recruitment:/Customer Service Representatives,Current//Areas of recruitment:/Sales,Current//Priority areas of recruitment:/Information Technology (IT),Current//Priority areas of recruitment:/Marketing,Current//Priority areas of recruitment:/Administrative Staff,Current//Priority areas of recruitment:/Finance,Current//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Current//Priority areas of recruitment:/Technical Staff,Current//Priority areas of recruitment:/Others,Current//Please specify,Do you consider youth (18-29 years) from the local community for employment?,Do you expect the need for employees in the next year?,Number of expected job vacancies:,Future//Types of positions available:/Interns,Future//Types of positions available:/Seasonal employees,Future//Types of positions available:/Entry level,Future//Types of positions available:/Mid-senior level,Future//Types of positions available:/Senior management level,Future//TOTAL,Future//Areas of recruitment:/Customer Service Representatives,Future//Areas of recruitment:/Sales,Future//Priority areas of recruitment:/Information Technology (IT),Future//Priority areas of recruitment:/Marketing,Future//Priority areas of recruitment:/Administrative Staff,Future//Priority areas of recruitment:/Finance,Future//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Future//Priority areas of recruitment:/Technical Staff,Future//Priority areas of recruitment:/Others,Future//Please specify,start_date,end_date,start_time,end_time
376583921,2024-08-28,30.5185291,35.5705103,Maan,Ash-Shobek,Yes,Sole proprietorship,محل الضياء لقطع السيارات ,Wholesale and Retail Trade,Retail trade (automotive),زينة سيارات/ بيع قطع سيارات جديدة و مستخدمة ,776101410,776101410,Less than 10 employees,Micro,Yes,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,ميكانيكي سيارات /عامل غيار زيوت ,Yes,Yes,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,ميكانيكي سيارات /عامل غيار زيوت ,2024-08-28,2024-08-28,10:04:06.839000,10:15:21.450000
376583930,2024-08-28,30.5184715,35.5703857,Maan,Ash-Shobek,Yes,Sole proprietorship,محددة خالد الجبارات ,Manufacturing,Metal fabrication,تصنيع ابواب الحديد ,772127484,772127484,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,حداد ,2024-08-28,2024-08-28,10:17:09.087000,10:23:49.670000
376583936,2024-08-28,30.5189218,35.5736048,Maan,Ash-Shobek,Yes,Sole proprietorship,سوبر ماركت جلاكسي ,Wholesale and Retail Trade,Retail trade (food),بيع مواد غذائية ,777158851,777255078,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:32:46.337000,10:40:38.770000
376583943,2024-08-28,30.5189883,35.5734545,Maan,Ash-Shobek,Yes,Sole proprietorship,مكتبة الما ,Wholesale and Retail Trade,Retail trade (general merchandise),طباعة/ تصوير/ حوالات إلكترونية /معاملات ,772643093,772228389,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:42:37.509000,10:52:01.909000
376583950,2024-08-28,30.5198554,35.5748596,Maan,Ash-Shobek,Yes,Cooperative,جمعية أبناء الشوبك للمتقاعدين العسكريين ,Wholesale and Retail Trade,Retail trade (food),تصنيع الخبز بأنواعه ,791062727,791062727,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,بائع كاشير /خباز ,2024-08-28,2024-08-28,10:55:29.525000,11:03:59.391000
376583956,2024-08-28,30.519967,35.5749043,Maan,Ash-Shobek,Yes,Sole proprietorship,شوق للإتصالات ,Information and Communication,Internet service providers,انتاج العطور / بيع بطاقات الأتصال ,772143642,772143642,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:05:31.180000,11:14:38.161000
376583963,2024-08-28,30.5202885,35.5753009,Maan,Ash-Shobek,Yes,Sole proprietorship,سوبر ماركت بلازا ,Wholesale and Retail Trade,Retail trade (food),بيع وتوصيل طلبات الأغذية ,777765980,777765980,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,,2024-08-28,2024-08-28,11:18:06.332000,11:31:56.353000
376583967,2024-08-28,30.5205021,35.5756908,Maan,Ash-Shobek,Yes,Sole proprietorship,آنية للأدوات المنزلية ,Wholesale and Retail Trade,Retail trade (general merchandise),بيع الأدوات المنزلية ,777313521,777313521,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:37:55.144000,11:50:49.090000
376583977,2024-08-28,30.5202951,35.5754985,Maan,Ash-Shobek,Yes,Sole proprietorship,مطعم ابو ادم ,Accommodation and Food Services (Tourism(,Restaurants,وجبات سريعة /سناكات /مأكولات شعبية ,795042348,770281928,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,طاهي ,2024-08-28,2024-08-28,12:03:17.546000,12:11:35.997000
376583983,2024-08-28,30.5194817,35.5742267,Maan,Ash-Shobek,Yes,Sole proprietorship,محددة الهباهبة ,Manufacturing,Metal fabrication,تصنيع ابواب وحمايات ,779792976,779792976,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,حداد ,2024-08-28,2024-08-28,12:28:39.431000,12:35:43.963000
